day,p5,p25,p50,p75,p95
1,9800.0,10000.0,10000.0,10087.82937309106,10345.153962796185
2,9762.360447186547,10000.0,10033.612478245277,10181.624166579408,10500.74074074074
3,9720.0,9926.604603703408,10077.669635990296,10290.574102557634,10613.910654981986
4,9670.230343140347,9926.44431839468,10115.554347918502,10352.1060713394,10708.32527856343
5,9645.193392980875,9938.906208789353,10158.644012361161,10408.711173886959,10793.454707006164
6,9629.806747414192,9953.797256001853,10194.812738992057,10469.656843829207,10893.005991072763
7,9623.131616981618,9976.618964536563,10235.90826048233,10535.916035255415,10986.57433025469
8,9613.483498481419,9999.012860674553,10282.732223757852,10593.621760923988,11078.05830382137
9,9611.083653169584,10018.856747505512,10319.260278626334,10649.5007005439,11176.75179576333
10,9611.496008241444,10040.781925181069,10362.155457557783,10706.952952826998,11249.29159540613
11,9611.580042244595,10055.921223255753,10401.589280858956,10760.467324241314,11326.070352639417
12,9604.273427207632,10085.342452457297,10436.495065770521,10807.06580253785,11410.032110400423
13,9605.574911108954,10108.599387548058,10476.562480449655,10865.893102514943,11491.79641059432
14,9607.123785659032,10131.380706094616,10515.967251009137,10921.235525960188,11572.893256783782
15,9620.837727828673,10148.767673468947,10551.785637529016,10975.87431635895,11634.9028186061
16,9611.915860989164,10171.949935939567,10589.459185266998,11029.751536012427,11705.23453126288
17,9627.06569680173,10195.71975986945,10625.346179051628,11088.40353626792,11767.43221560677
18,9642.189142379526,10221.085546007056,10664.551204805004,11133.240896462969,11841.690733721083
19,9644.374967814536,10251.644952174596,10706.037243514724,11183.938677224885,11907.046782074154
20,9649.157600499328,10289.207826626627,10747.014227477786,11228.1832962261,11985.659364644363
21,9658.444589749057,10320.649836842078,10784.208214085069,11275.834312720497,12043.75257691172
22,9657.350414243578,10336.870490235497,10823.201478550545,11332.18110366286,12108.10034581961
23,9677.552793459929,10363.176370652489,10858.46760544239,11384.220413193736,12158.799048792154
24,9689.230927236002,10391.484798904876,10901.502965395699,11432.127596415114,12228.052043158617
25,9703.981047560412,10419.996105495293,10939.726573003732,11486.534750925452,12297.669512820701
26,9715.050581430181,10445.561545162884,10981.223938796851,11532.251464946141,12358.613012115786
27,9740.058219932886,10470.85747012155,11019.678880581208,11573.20457352545,12418.063443509913
28,9745.016432832641,10508.927840764183,11050.622502739183,11631.197715714003,12478.7172847651
29,9768.50182565704,10531.686871392165,11083.310486092509,11678.129609543132,12556.858043923878
30,9784.37430999988,10572.930191407493,11120.965038456648,11723.727161772991,12624.433119672092
31,9804.945831050114,10599.617641060971,11161.648672126088,11762.115015500494,12687.289396130196
32,9795.346618324105,10625.61210514932,11211.920521847995,11804.031123277156,12753.547252252092
33,9819.812702444255,10656.961283025947,11248.132974238933,11852.735671156403,12813.268943608464
34,9841.38438530699,10679.015061261482,11282.431070065377,11907.484948768863,12875.187036444533
35,9852.273729821256,10709.11764770909,11323.37032029657,11955.294652393244,12930.35097400387
36,9871.002825159934,10732.989255154505,11369.143103315542,12009.710337500905,13006.898578475562
37,9885.434693199599,10762.05910556656,11411.166657625476,12058.07597792624,13055.410481476189
38,9903.056498202044,10788.342825601932,11449.591878187519,12097.666673585545,13110.598559144506
39,9914.726486201133,10812.78146206035,11483.00485744853,12146.141234773564,13174.966361541517
40,9940.857648229408,10854.972393239177,11529.696369102436,12199.206542480244,13225.667146882433
41,9960.113376295647,10890.978088364984,11558.750171157099,12251.214698263288,13294.868853816986
42,9983.578740888006,10915.773219092429,11589.490676876252,12297.379871912406,13346.34419684354
43,9996.449279584695,10954.882682247624,11641.2102384379,12348.928359325591,13401.127726637393
44,10017.464400065815,10980.665535625016,11683.39338737139,12401.416086473502,13454.466706385176
45,10027.93598166686,11012.014193356434,11720.849620065794,12448.564736172937,13507.36617066012
46,10048.448201811138,11041.080617677047,11759.231238225973,12486.241635264916,13558.772064812787
47,10063.988412829312,11076.477915992002,11809.728266069429,12532.555120869572,13613.482544247994
48,10083.03562809067,11101.976465942698,11834.886318004319,12583.43404776973,13681.195830545345
49,10097.51324458837,11132.974093677376,11876.163786466775,12632.452608649954,13744.024255424521
