trade_number,equity_p1_path,equity_p5_path,equity_p95_path
1,9900.0,9860.0,9860.0
2,9945.985401459853,9720.0,9760.0
3,9805.985401459853,9785.408040281947,9777.85928722171
4,9705.985401459853,9975.263112745715,9677.85928722171
5,9713.512283180284,10117.623559932263,9713.95409694392
6,9972.993850000561,9977.623559932263,9781.261007513025
7,9982.525415112146,9993.230496348448,9788.787889233456
8,9995.519765394632,9893.230496348448,9801.11915949576
9,10013.379052616343,9986.517989054226,9835.813482114685
10,10114.248468718546,10047.808311634872,10095.29504893496
11,9974.248468718546,10060.139581897176,10109.594407289826
12,9989.855405134731,9940.139581897176,10141.353630789305
13,9889.855405134731,9962.090801409371,10153.085474364723
14,9967.90121698613,10024.162391716256,10053.085474364723
15,10160.388567724849,10035.097341170507,10169.493439010435
16,10167.915449445278,10448.10247557099,10361.980789749152
17,10245.96126129668,10459.03742502524,10374.312060011458
18,10390.422414178885,10474.405151981513,10441.618970580563
19,10290.422414178885,10523.779684165853,10519.664782431964
20,10396.478086975589,10664.328578850187,10419.664782431964
21,10489.765579681367,10564.328578850187,10459.354840273283
22,10583.053072387147,10424.328578850187,10544.540025458467
23,10723.60196707148,10615.851368212845,10804.021592278743
24,10765.445938702685,10727.675267583913,10996.508943017461
25,10665.445938702685,10828.544683686117,10896.508943017461
26,10750.752434228958,10863.23900630504,11309.514077417944
27,10792.596405860164,11054.761795667699,11345.162033065899
28,10853.886728440808,10954.761795667699,11644.626077793102
29,10871.746015662518,11147.249146406415,11862.08639525342
30,10881.035633148857,11209.3207367133,11947.271580438604
31,10741.035633148857,11274.728776995245,12014.57849100771
32,10751.97058260311,11296.67999650744,12050.67330072992
33,10767.557666818902,11196.67999650744,12095.3207030835
34,10813.543068278756,11456.161563327718,12287.808053822217
35,10855.387039909961,11463.183680845983,12514.30818120056
36,10866.239585423613,11363.183680845983,12414.30818120056
37,10933.54649599272,11263.183680845983,12425.243130654811
38,11034.415912094923,11123.183680845983,12450.087124868853
39,11070.510721817132,11184.474003426629,12486.181934591063
40,11155.695907002317,11325.022898110961,12386.181934591063
41,11055.695907002317,11415.830978919043,12528.542381777608
42,11087.455130501796,11426.683524432694,12669.091276461942
43,11103.06206691798,11286.683524432694,12811.451723648488
44,11193.870147726062,11297.618473886945,13187.642199838965
45,11053.870147726062,11197.618473886945,13047.642199838965
46,10953.870147726062,11263.026514168892,12947.642199838965
47,10995.714119357268,11353.834594976974,12957.17376495055
48,10855.714119357268,11415.812616954996,13216.655331770828
49,10755.714119357268,11315.812616954996,13239.445044561537
50,10791.362075005223,11215.812616954996,13252.439394844023
51,10806.949159221016,11408.299967693712,13382.771881594419
52,10817.969749829563,11414.224453410718,13393.70683104867
53,10836.65750989226,11314.224453410718,13411.56611827038
54,10942.843076902569,11415.09386951292,13291.56611827038
55,11087.830225630507,11454.78392735424,13312.504306677072
56,10987.830225630507,11354.78392735424,13348.599116399282
57,11037.204757814849,11214.78392735424,13366.458403620993
